sensorType,deploymentType,eventName,collectionCondition,housingType,sensorBrand,statusId,timeStamp,site_no,latitude,longitude,siteDescription,networkNames,stateName,countyName,siteWaterbody,siteHDatum,sitePriorityName,siteZone,siteHCollectMethod,sitePermHousing,instrument_id,sensor_type_id,deployment_type_id,location_description,serial_number,housing_serial_number,interval,site_id,event_id,inst_collection_id,housing_type_id,sensor_brand_id,vented,last_updated,last_updated_by,instr_collection_conditions,sensor_brand,sensor_type,housing_type,deployment_type,instrument_status,data_files,files,event,site,Links
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 20:21,FLBRE03160,27.9215,-80.51941,Fisherman's Landing Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,22,1,1,"ON FIRST PILING OF PIER 1, CLOSEST TO THE PARKING LOT ON THE LEFT SIDE.",102382,,30,3160,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,23,1,1,same location as another,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:10,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,24,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK 1",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Wilma,Brackish Water,,,2,10/25/05 0:00,FLCOL03148,26.04606,-81.70845,Hendersen Creek at KOA Campground boat ramp.,Gulf of Mexico,FL,Collier County,Hendersen Creek,NAD83,,,Map (digital or paper),Yes,25,1,1,Strapped to landward-most wooden piling on upstream side of boat ramp. Angle iron at 1.8 ft above LS,911334,,30,3148,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,26,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,,2,5/21/13 23:48,FLBRE03151,28.355,-80.72217,Lee Wenner Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,27,1,1,,1028496,WSH-13832,30,3151,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,28,1,1,,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 22:10,FLBRE03153,28.3572,-80.62858,Constitution Bicentennial Boat Ramp,South Atlantic,FL,Brevard County,Banana River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,29,1,1,on dock,2238139,WSH 13840,30,3153,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 19:40,FLBRE03154,28.20669,-80.66137,Boat Ramp at POW/MIA Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,30,1,1,on dock @ boat ramp,2238154,WSH 13815,30,3154,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 18:02,FLBRE03157,28.07962,-80.59973,"Claude Edge Front St Park, on Front St. south of US 192 before the bridge if traveling East (heavy road construction, some roads closed)
Many wooden pilings at boat ramp",South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,32,1,1,On piling of dock.,1028500,WSH 13824,30,3157,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT00008,30.27134,-89.79356,Bayou Bonfouca at Hwy 433 in Slidell,Gulf of Mexico,LA,St. Tammany Parish,Bayou Bonfouca,NAD83,,,Map (digital or paper),Yes,8647,1,1,,9858523,,30,6628,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT23284,30.26835,-89.84465,Bayou Liberty at Hwy 433 near Slidell,Gulf of Mexico,LA,St. Tammany Parish,Bayou Liberty,WGS84 (from Digital Map),,,Map (digital or paper),No,8648,1,1,Sensor is mounted to a small pier on the downstream right bank below the Hwy 433 bridge,10684864,,30,23284,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT23285,30.313858,-89.935563,Bayou Lacombe at Hwy 190 near Lacombe,Gulf of Mexico,LA,St. Tammany Parish,Bayou Lacombe,WGS84 (from Digital Map),,,Map (digital or paper),No,8649,1,1,Sensor is housed on bridge pile on the right us side of the bridge,2332645,,30,23285,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT00011,30.38488,-90.07906,Bayou Chinchuba at US 190,Gulf of Mexico,LA,St. Tammany Parish,Bayou Chinchuba,NAD83,,,Map (digital or paper),Yes,8650,1,1,Located on bridge pile on right downstream side of downstream bridge,10542886,,30,6692,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,Brackish Water,HIF Stainless Steel,Hobo,2,10/11/17 14:00,FLESC03319,30.41467,-87.19215,Pensacola Fishing Bridge,Gulf of Mexico,FL,Escambia County,PENSACOLA BAY,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,8651,1,1,1ST MIDDLE PILAR UNDER FISHING BRIDGE,1028498,,30,3319,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LALAF23286,29.342068,-90.2463333,Bayou Lafourche at Leon Theriot Lock South,Gulf of Mexico,LA,Lafourche Parish,Bayou Lafouche,NAD83,,,Handheld GPS,No,8652,1,1,,10642890,,30,23286,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAJEF23287,29.26271277,-89.96123565,Barataria Bay at Sand Dollar Marina at Grand Isle,Gulf of Mexico,LA,Jefferson Parish,Barataria Bay,NAD83,,,Handheld GPS,No,8653,1,1,,10684849,,30,23287,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAJEF23288,29.2384479,-89.9836473,Barataria Bay at Grand Isle,Gulf of Mexico,LA,Jefferson Parish,Barataria Bay,NAD83,,,Handheld GPS,No,8654,1,1,,16042891,,30,23288,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAJEF23289,29.203409,-90.0402464,Barataria Bay at Bridgeside Marina at Grand Isle,Gulf of Mexico,LA,Jefferson Parish,Barataria Bay,NAD83,,,Handheld GPS,No,8655,1,1,,1604289,,30,23289,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LALAF23290,29.5561367,-90.275663,Clovelly Farm at Cut Off,Gulf of Mexico,LA,Lafourche Parish,Bay Dogris,NAD83,,,Handheld GPS,No,8656,1,1,,10684840,,30,23290,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LATAN23291,30.28917,-90.40167,"Pass Manchac at Middendorf's, on wingwall of northbound lane of Hwy 51.",Gulf of Mexico,LA,Tangipahoa Parish,Pass Manchac,NAD83,,,Map (digital or paper),Yes,8657,1,1,,11111111,LA-26737,30,23291,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTC23292,30.0571,-90.3704,Lake Pontchartrain at Bonnet Carre Spillway,Gulf of Mexico,LA,St. Charles Parish,Lake Pontchartrain,NAD83,,,Phone/Car GPS,No,8658,1,1,,10405371,,30,23292,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAJEF06563,30.04087,-90.23769,"Lake Pontchartrain at Williams Blvd Marina at Kenner, on dock to east of boat launch and pavillion",Gulf of Mexico,LA,Jefferson Parish,Lake Pontchartrain,NAD83,,,Map (digital or paper),Yes,8659,1,1,,104165159,,30,6563,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAORL00054,30.02226,-90.11422,Lake Pontchartrain at Pontchartrain Blvd at Metarie,Gulf of Mexico,LA,Orleans County,Lake Pontchartrain,NAD83,,,Map (digital or paper),Yes,8660,1,1,,10416157,,30,6562,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAORL000140,30.07697,-89.94317,Lake Pontchartrain at Paris Road,Gulf of Mexico,LA,Orleans County,Lake Pontchartrain,WGS84 (from Digital Map),,,Map (digital or paper),Yes,8661,1,1,,10684867,,30,7795,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTB00026,29.75786,-89.7838,Bayou Terre Aux Boeufs at end of Hwy 300 at Delacroix,Gulf of Mexico,LA,St. Bernard Parish,Bayou Terre Aux Boeufs,NAD83,,,Map (digital or paper),Yes,8662,1,1,,10395269,,30,6545,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTB00027,29.85327,-89.71373,New Canal at Hwy 46 nr Alluvial City,Gulf of Mexico,LA,St. Bernard Parish,New Canal,NAD83,,,Map (digital or paper),Yes,8663,1,1,,9858518,,30,6557,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTB00025,29.81886,-89.61126,Across hwy from Bayou LaLoutre nr Breton Sound Marina nr end of Hwy 624,Gulf of Mexico,LA,St. Bernard Parish,Bayou LaLoutre,NAD83,,,Map (digital or paper),Yes,8664,1,1,,9800715,,30,6552,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTB00024,29.80691,-89.76452,Canal along Hwy 300 nr Lake Lery nr Wood Lake,Gulf of Mexico,LA,St. Bernard Parish,Canal,NAD83,,,Map (digital or paper),Yes,8665,1,3,,10376034,,30,6551,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTB00024,29.80691,-89.76452,Canal along Hwy 300 nr Lake Lery nr Wood Lake,Gulf of Mexico,LA,St. Bernard Parish,Canal,NAD83,,,Map (digital or paper),Yes,8666,1,1,,9800713,,30,6551,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAPLA23293,29.69868,-89.97043,Power sub-station near Carlisle,Gulf of Mexico,LA,Plaquemines Parish,Oak River,NAD83,,,Phone/Car GPS,No,8667,1,1,,26700LA,26700LA,30,23293,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAPLA23294,29.56783,-89.76659,Pointe-A-La-Hache Boat Harbor (Beschel's Marina),Gulf of Mexico,LA,Plaquemines Parish,Back Levee Canal,NAD83,,,Phone/Car GPS,No,8668,1,1,,26671LA,26671LA,30,23294,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAPLA00007,29.35278,-89.5364,Bay Pomme D'or at Buras Boat Harbor at Buras,Gulf of Mexico,LA,Plaquemines Parish,Bay Pomme D'or,NAD83,,,Map (digital or paper),Yes,8669,1,1,,26696LA,26696LA,30,6530,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTB00003,29.90092,-89.89368,Violet Canal at Packenham Rd at Violet,Gulf of Mexico,LA,St. Bernard Parish,Violet Canal,NAD83,,,Map (digital or paper),Yes,8670,1,1,,26700LA,26700LA,30,6560,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT23295,30.21833,-89.82306,Lake Pontchartrain at Hwy 11 Northshore,Gulf of Mexico,LA,St. Tammany Parish,Lake Pontchartrain,NAD83,,,Phone/Car GPS,No,8671,1,1,,10684861,26704-LA,30,23295,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAORL23296,30.15361,-89.8575,Lake Pontchartrain at Hwy 11 South Shore,Gulf of Mexico,LA,Orleans Parish,Lake Pontchartrain,NAD83,,,Phone/Car GPS,No,8672,1,1,,10462654,26692-LA,30,23296,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LAORL23297,30.06472,-89.80639,Chef Pass at Hwy 90 at Chef Marina,Gulf of Mexico,LA,Orleans Parish,Chef Pass,NAD83,,,Phone/Car GPS,No,8673,1,1,,10642882,26697-LA,30,23297,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT23298,30.17611,-89.72722,Rigolets at Hwy 90 at Rigolets Marina,Gulf of Mexico,LA,St. Tammany Parish,Rigolets,NAD83,,,Map (digital or paper),Yes,8674,1,1,,10684876,26685-LA,30,23298,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,,Ruston Steel Pipe,Hobo,1,10/6/17 23:00,LASTT00100,30.23835,-89.61631,Pearl River at US 90 Boat Launch,Gulf of Mexico,LA,St. Tammany Parish,Pearl River,NAD83,,,Map (digital or paper),Yes,8675,1,1,,10684852,26708-LA,30,6614,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,Brackish Water,HIF Stainless Steel,Hobo,2,10/11/17 21:03,FLOKA03301,30.44343,-86.58439,Choctwahatchee Bay at Meigs Neighborhood Park,Gulf of Mexico,FL,Okaloosa County,CHOCTAWHATCHEE BAY,NAD83,,0,Map (digital or paper),Yes,8676,1,1,on second post of dock on right side,1028500,,30,3301,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Nate October 2017,Air,HIF Stainless Steel,Hobo,2,10/11/17 20:00,FLOKA03300,30.51873,-86.48844,Nicevile Landing Park,Gulf of Mexico,FL,Okaloosa County,BOGGY BAYOU,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,8677,1,3,utility pole in parking lot for Niceville Landing,2238152,,30,3300,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,Air,HIF Stainless Steel,Hobo,2,10/11/17 20:00,FLOKA03300,30.51873,-86.48844,Nicevile Landing Park,Gulf of Mexico,FL,Okaloosa County,BOGGY BAYOU,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,8678,1,1,installed on 2nd to last piling from end of old pier at Niceville Landing,1028508,,30,3300,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,Nate October 2017,Air,HIF Stainless Steel,Hobo,2,10/10/17 18:05,FLWAK03364,30.151825,-84.20905,St. Marks River Public Boat Ramp,Gulf of Mexico,FL,Wakulla County,WAKULLA RIVER,NAD83,,0,Map (digital or paper),No,8679,1,1,St. Marks river park near boat ramp. Large dock.,2238123,,30,3364,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Nate October 2017,Air,HIF Stainless Steel,Hobo,2,10/10/17 18:05,FLWAK03364,30.151825,-84.20905,St. Marks River Public Boat Ramp,Gulf of Mexico,FL,Wakulla County,WAKULLA RIVER,NAD83,,0,Map (digital or paper),No,8680,1,3,about 4 or 5 feet above ground on utility pole in west end of parking area.,2238148,,30,3364,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,Nate October 2017,Air,,Level Troll,2,10/12/17 19:00,ALBAL23302,30.234981,-87.877361,"Baro Troll for Fort Morgan, at Service building for Beach Club, at 925 Beach Club Trail, Gulf Shores, AL 36542. Nailed and strapped to 4x4 post, on left, at top of steps to most beachward bldg.",,AL,Baldwin County,"Mobile Bay near Fort Morgan, Alabama and Gulf of Mexico",local control point,,,Phone/Car GPS,No,8681,1,3,"Baro Troll at Service building for Beach Club, at 925 Beach Club Trail, Gulf Shores, AL 36542. Nailed and strapped to 4x4 post, on left, at top of steps to most beachward bldg",487069,,300,23302,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Wave Height,Nate October 2017,Saline Water,HIF Stainless Steel,Unknown,2,10/12/17 14:30,ALBAL23303,30.229044,-87.876173,"Fort Morgan 1
wave sensor transect on middle pier at 925 Beach Club Trail,  Gulf Shores, AL 36542. Sensor 1 of 5. Set in housing on West side of  39th pier seaward, from tide wall. RM set at base of housing, with lag bolt.","Coastal Change Hazards (CCH), Transects, Gulf of Mexico",AL,Baldwin County,Gulf of Mexico,local control point,,,Phone/Car GPS,No,8682,1,2,"middle pier at 925 Beach Club Trail,  Gulf Shores, AL 36542. Sensor 1 of 5. Set in housing on West side of  39th pier seaward, from tide wall. RM set at base of housing, with lag bolt.",1511462,,0.25,23303,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Wave Height,Nate October 2017,Saline Water,,Unknown,2,10/12/17 14:30,ALBAL23304,30.22919,-87.876175,"Fort Morgan 2
wave sensor 2/5, at 925 Beach Club Trail, Gulf Shores, AL 36542. In housing mounted to 35th seaward pier from sea wall. with lag bolt RM set at base of housing.","Coastal Change Hazards (CCH), Transects, Gulf of Mexico",AL,Baldwin County,Gulf of Mexico,local control point,,,Phone/Car GPS,No,8683,1,2,"wave sensor 2/5, at 925 Beach Club Trail, Gulf Shores, AL 36542. In housing mounted to 35th seaward pier from sea wall. with lag bolt RM set at base of housing.",1510707 true blue,,0.25,23304,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Wave Height,Nate October 2017,Saline Water,,Unknown,2,10/12/17 14:30,ALBAL23305,30.229289,-87.876172,"Fort Morgan 3 (Dune Toe)
wave sensor 3/5, at 925 Beach Club Trail, Gulf Shores, AL 36542. In housing mounted to 31st seaward pier from sea wall. with lag bolt RM set at base of housing.","Coastal Change Hazards (CCH), Transects, Gulf of Mexico",AL,Baldwin County,Gulf of Mexico,local control point,,,Phone/Car GPS,No,8684,1,2,"wave sensor 3/5, at 925 Beach Club Trail, Gulf Shores, AL 36542. In housing mounted to 31st seaward pier from sea wall. with lag bolt RM set at base of housing.",1511425 true blue,,0.25,23305,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
